[2026-01-16 17:31:03,286][INFO][always_online.py][always_login][138]: [2026-01-16 17:31:03] [DESKTOP-TJ2CNKV] NetWork Monitor StartUp.
[2026-01-16 17:31:26,898][INFO][always_online.py][always_login][153]: [2026-01-16 17:31:26] [DESKTOP-TJ2CNKV] offline.
[2026-01-16 17:31:26,918][ERROR][always_online.py][always_login][159]: [2026-01-16 17:31:26] [DESKTOP-TJ2CNKV] login failed: 'NoneType' object has no attribute 'group'
[2026-01-16 17:31:32,891][INFO][always_online.py][always_login][153]: [2026-01-16 17:31:32] [DESKTOP-TJ2CNKV] offline.
[2026-01-16 17:31:32,911][ERROR][always_online.py][always_login][159]: [2026-01-16 17:31:32] [DESKTOP-TJ2CNKV] login failed: 'NoneType' object has no attribute 'group'
[2026-01-16 17:31:37,895][INFO][always_online.py][always_login][153]: [2026-01-16 17:31:37] [DESKTOP-TJ2CNKV] offline.
[2026-01-16 17:31:37,906][ERROR][always_online.py][always_login][159]: [2026-01-16 17:31:37] [DESKTOP-TJ2CNKV] login failed: 'NoneType' object has no attribute 'group'
[2026-01-16 17:31:42,897][INFO][always_online.py][always_login][153]: [2026-01-16 17:31:42] [DESKTOP-TJ2CNKV] offline.
[2026-01-16 17:31:42,906][ERROR][always_online.py][always_login][159]: [2026-01-16 17:31:42] [DESKTOP-TJ2CNKV] login failed: 'NoneType' object has no attribute 'group'
[2026-01-16 17:31:47,891][INFO][always_online.py][always_login][153]: [2026-01-16 17:31:47] [DESKTOP-TJ2CNKV] offline.
[2026-01-16 17:31:47,910][ERROR][always_online.py][always_login][159]: [2026-01-16 17:31:47] [DESKTOP-TJ2CNKV] login failed: 'NoneType' object has no attribute 'group'
[2026-01-16 17:31:52,891][INFO][always_online.py][always_login][153]: [2026-01-16 17:31:52] [DESKTOP-TJ2CNKV] offline.
[2026-01-16 17:31:52,898][ERROR][always_online.py][always_login][159]: [2026-01-16 17:31:52] [DESKTOP-TJ2CNKV] login failed: 'NoneType' object has no attribute 'group'
[2026-01-16 17:31:57,901][INFO][always_online.py][always_login][153]: [2026-01-16 17:31:57] [DESKTOP-TJ2CNKV] offline.
[2026-01-16 17:31:57,915][ERROR][always_online.py][always_login][159]: [2026-01-16 17:31:57] [DESKTOP-TJ2CNKV] login failed: 'NoneType' object has no attribute 'group'
[2026-01-16 17:32:02,886][INFO][always_online.py][always_login][153]: [2026-01-16 17:32:02] [DESKTOP-TJ2CNKV] offline.
[2026-01-16 17:32:02,896][ERROR][always_online.py][always_login][159]: [2026-01-16 17:32:02] [DESKTOP-TJ2CNKV] login failed: 'NoneType' object has no attribute 'group'
[2026-01-16 17:34:19,429][INFO][always_online.py][always_login][143]: [2026-01-16 17:34:19] [DESKTOP-TJ2CNKV] NetWork Monitor StartUp.
[2026-01-16 17:34:51,584][INFO][always_online.py][always_login][143]: [2026-01-16 17:34:51] [DESKTOP-TJ2CNKV] NetWork Monitor StartUp.
