[2026-01-17 14:50:48,322][INFO][always_online.py][<module>][465]: 程序启动，正在加载配置...
[2026-01-17 14:53:02,021][INFO][always_online.py][<module>][465]: 程序启动，正在加载配置...
[2026-01-17 15:02:33,592][INFO][always_online.py][<module>][465]: 程序启动，正在加载配置...
[2026-01-17 15:04:27,739][INFO][always_online.py][<module>][467]: 配置加载完成，启动网络监控线程...
[2026-01-17 15:04:27,740][INFO][always_online.py][always_login][398]: [2026-01-17 15:04:27] [DESKTOP-TJ2CNKV] NetWork Monitor StartUp.
[2026-01-17 15:04:27,740][INFO][always_online.py][<module>][472]: 网络监控线程已启动
[2026-01-17 15:04:27,740][INFO][always_online.py][<module>][475]: 正在启动托盘图标...
[2026-01-17 15:04:27,741][INFO][always_online.py][run_tray][435]: 开始创建托盘图标...
[2026-01-17 15:04:27,742][INFO][always_online.py][run_tray][438]: 创建托盘菜单...
[2026-01-17 15:04:27,742][INFO][always_online.py][create_tray_menu][346]: 开始创建托盘菜单...
[2026-01-17 15:04:27,743][INFO][always_online.py][create_tray_menu][349]: 开机自启状态: False, 菜单文本: 开机自启: 已关闭
[2026-01-17 15:04:27,743][INFO][always_online.py][create_tray_menu][364]: 创建菜单项...
[2026-01-17 15:04:27,744][INFO][always_online.py][create_tray_menu][373]: 托盘菜单创建成功，包含 5 个菜单项
[2026-01-17 15:04:27,744][INFO][always_online.py][create_tray_menu][376]:   菜单项 1: 显示状态
[2026-01-17 15:04:27,744][INFO][always_online.py][create_tray_menu][376]:   菜单项 2: 调试登录
[2026-01-17 15:04:27,744][INFO][always_online.py][create_tray_menu][376]:   菜单项 3: 开机自启: 已关闭
[2026-01-17 15:04:27,745][INFO][always_online.py][create_tray_menu][376]:   菜单项 4: - - - -
[2026-01-17 15:04:27,745][INFO][always_online.py][create_tray_menu][376]:   菜单项 5: 退出程序
[2026-01-17 15:04:27,745][INFO][always_online.py][run_tray][440]: 托盘菜单创建完成
[2026-01-17 15:04:27,745][INFO][always_online.py][run_tray][442]: 创建托盘图标对象...
[2026-01-17 15:04:27,745][INFO][always_online.py][run_tray][450]: 托盘图标已创建，开始运行...
[2026-01-17 15:04:32,966][INFO][always_online.py][callback][355]: 菜单项被点击: 显示状态
[2026-01-17 15:04:51,390][INFO][always_online.py][always_login][413]: [2026-01-17 15:04:51] [DESKTOP-TJ2CNKV] offline.
[2026-01-17 15:04:51,427][INFO][always_online.py][always_login][417]: [2026-01-17 15:04:51] [DESKTOP-TJ2CNKV] login attempt #1
